symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2018-02-20,69.595000,70.373100,False,68.676600,70.176200,reg,6415188,69.54823333333333,74.22174499999996,1.1048363333333402,-282.0032569932137
CVS,2018-02-21,67.723700,69.831300,False,67.684300,69.526100,reg,10624802,68.4131,73.64654999999996,1.1048363333333402,-315.79036291649413
CVS,2018-02-22,66.975100,68.098000,False,66.541800,67.920700,reg,10061471,67.20496666666666,73.01028499999997,1.1048363333333402,-350.297334135057
CVS,2018-02-23,67.132700,67.743400,False,66.408800,67.477400,reg,5804823,67.09496666666666,72.34939499999996,1.1048363333333402,-317.056211543445
CVS,2018-02-26,67.201700,67.438000,False,66.551600,67.172100,reg,7837609,67.06376666666667,71.67077999999997,1.1048363333333402,-277.9906968623872
CVS,2018-02-27,67.221400,68.610100,False,67.091700,68.255500,reg,7391900,67.64106666666667,70.91336999999996,1.1048363333333402,-197.45327789625935
CVS,2018-02-28,66.709200,67.654700,False,66.591000,67.339600,reg,10799790,66.98496666666666,70.29975999999996,1.1048363333333402,-200.01715689010217
CVS,2018-03-01,66.137900,67.497100,False,65.753800,66.679700,reg,9556429,66.46293333333334,69.73145499999997,1.1048363333333402,-197.2250892464983
CVS,2018-03-02,66.443300,66.591000,False,65.623400,66.098500,reg,10613869,66.21923333333332,69.17349499999997,1.1048363333333402,-178.26240125862594
CVS,2018-03-05,67.280500,67.566100,False,65.980400,66.482700,reg,7754206,66.94233333333334,68.77262999999996,1.1048363333333402,-110.44149626183639
CVS,2018-03-06,66.630400,67.438000,False,66.049300,67.349400,reg,8838326,66.7059,68.49339999999998,1.1048363333333402,-107.85911276753022
CVS,2018-03-07,66.492500,66.866800,False,65.537100,65.950800,reg,6790081,66.29880000000001,68.17280499999998,1.1048363333333402,-113.07889041785417
CVS,2018-03-08,67.329700,68.314600,False,66.827400,66.827400,reg,8374047,67.49056666666667,67.87781999999999,1.1048363333333402,-23.36716137040612
CVS,2018-03-09,68.226000,68.324500,False,67.201700,67.733500,reg,5795576,67.9174,67.81478499999999,1.1048363333333402,6.1918673323870115
CVS,2018-03-12,67.969900,68.511600,False,67.733600,68.226000,reg,4752572,68.07169999999999,67.79606999999999,1.1048363333333402,16.631724336847782
